"DistinguishedName","ObjectGuid","ObjectSid","AdminCount","PrimaryGroupID","MemberOf","objectClass","SamAccountName","SDHash","Owner","DaclProtected","SaclProtected","ExactSDMatch","ImplicitSDMatch","ACECount","ImplicitACECount","Created","Modified"
"CN=Administrator,CN=Users,DC=AD2025,DC=lan","173025fd-5c87-4922-8605-9c00fdec4948","S-1-5-21-1753113456-3794003277-551465778-500","1","513","CN=Group Policy Creator Owners,CN=Users,DC=AD2025,DC=lan;CN=Domain Admins,CN=Users,DC=AD2025,DC=lan;CN=Enterprise Admins,CN=Users,DC=AD2025,DC=lan;CN=Schema Admins,CN=Users,DC=AD2025,DC=lan;CN=Administrators,CN=Builtin,DC=AD2025,DC=lan","user","Administrator","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","4/14/2025 1:39:56 PM","5/12/2025 11:15:12 AM"
"CN=Guest,CN=Users,DC=AD2025,DC=lan","8fb14b68-0d5d-4c0c-b2ec-3bb4986f7697","S-1-5-21-1753113456-3794003277-551465778-501","0","514","CN=Guests,CN=Builtin,DC=AD2025,DC=lan","user","Guest","2E-E2-A1-77-B2-D8-80-5A-9E-80-64-31-AE-6B-26-91-50-2E-03-CA-F7-F1-20-45-91-6F-06-3D-57-DE-FA-4B","BUILTIN\Administrators","False","False","False","False","50","24","4/14/2025 1:39:56 PM","4/14/2025 1:39:56 PM"
"CN=SD-DC2025,OU=Domain Controllers,DC=AD2025,DC=lan","f620b83e-abcf-4b48-bc69-c4843f2936f0","S-1-5-21-1753113456-3794003277-551465778-1000","0","516","","computer","SD-DC2025$","50-7B-FA-67-75-C1-26-E6-01-72-60-2D-16-F0-7C-EA-B5-A5-A7-A8-7E-0C-E1-F3-92-74-53-EC-70-3C-DC-6D","AD2025\Domain Admins","False","False","False","False","45","18","4/14/2025 1:40:36 PM","5/14/2025 1:42:45 PM"
"CN=krbtgt,CN=Users,DC=AD2025,DC=lan","ef4c767a-f01e-4dc7-b739-cdce06e08b79","S-1-5-21-1753113456-3794003277-551465778-502","1","513","CN=Denied RODC Password Replication Group,CN=Users,DC=AD2025,DC=lan","user","krbtgt","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","4/14/2025 1:40:36 PM","5/1/2025 11:44:20 AM"
"CN=INHERITANCE$,CN=Users,DC=AD2025,DC=lan","b40e0c39-f5b4-47e6-a182-a79c86ca0db0","S-1-5-21-1753113456-3794003277-551465778-1103","0","513","","user","INHERITANCE$","FF-F3-86-15-46-0A-B8-23-0F-27-C8-BD-24-53-89-C7-3A-42-C3-19-B5-D9-1B-CD-0A-DE-49-E0-A0-7F-F2-FB","AD2025\Domain Admins","False","False","False","False","45","19","4/14/2025 5:23:40 PM","5/15/2025 1:12:46 PM"
"CN=adminCount Test,OU=AdminSDHolderTests,DC=AD2025,DC=lan","93f62418-3519-4058-b0a9-45dac02e46e8","S-1-5-21-1753113456-3794003277-551465778-5438","1","513","","user","adminCount","17-92-B0-5C-91-46-01-98-91-AF-E0-35-7C-00-54-D8-8D-94-08-4D-43-AA-AA-50-C6-76-C6-D5-12-DC-9C-2D","AD2025\Domain Admins","False","False","False","False","50","24","5/12/2025 11:27:17 AM","5/12/2025 11:27:17 AM"
"CN=RO_User,OU=AdminSDHolderTests,DC=AD2025,DC=lan","ea42c4a2-7596-4eae-be86-e6c2c1172029","S-1-5-21-1753113456-3794003277-551465778-5439","0","513","CN=Read-only Domain Controllers,CN=Users,DC=AD2025,DC=lan","user","ROUser","17-92-B0-5C-91-46-01-98-91-AF-E0-35-7C-00-54-D8-8D-94-08-4D-43-AA-AA-50-C6-76-C6-D5-12-DC-9C-2D","AD2025\Domain Admins","False","False","False","False","50","24","5/12/2025 11:27:17 AM","5/12/2025 11:27:17 AM"
"CN=RO_inetOrg,OU=AdminSDHolderTests,DC=AD2025,DC=lan","9e2a775e-526c-4d8d-a056-657d257328bd","S-1-5-21-1753113456-3794003277-551465778-5440","0","513","CN=Read-only Domain Controllers,CN=Users,DC=AD2025,DC=lan","inetOrgPerson","ROinetOrg","1F-68-3A-18-5D-36-19-F4-89-D2-40-45-4E-98-CC-D9-0B-53-65-BB-5B-0F-14-F7-12-C7-EA-73-A7-02-E4-4A","AD2025\Domain Admins","False","False","False","False","50","24","5/12/2025 11:27:17 AM","5/12/2025 11:27:18 AM"
"CN=RO_computer,OU=AdminSDHolderTests,DC=AD2025,DC=lan","7f94159a-0cf7-41ae-9d7d-f5d252bcfe61","S-1-5-21-1753113456-3794003277-551465778-5441","0","515","CN=Read-only Domain Controllers,CN=Users,DC=AD2025,DC=lan","computer","ROcomp$","81-D8-9C-12-61-0D-DE-E1-74-7F-33-BD-07-A4-35-E8-0A-8A-5A-AB-DD-FD-81-EF-D7-D4-C5-F3-B6-CF-46-27","AD2025\Domain Admins","False","False","False","False","46","19","5/12/2025 11:27:18 AM","5/12/2025 11:27:18 AM"
"CN=RO_gmsa,OU=AdminSDHolderTests,DC=AD2025,DC=lan","250d5328-4aab-44b3-b539-f59db14c4904","S-1-5-21-1753113456-3794003277-551465778-5442","0","515","CN=Read-only Domain Controllers,CN=Users,DC=AD2025,DC=lan","msDS-GroupManagedServiceAccount","ROgmsa$","9D-D9-A9-1E-B5-3A-1B-3C-DF-0F-C3-5F-E5-D0-D1-69-94-D0-FD-D3-E3-60-19-22-43-BF-8C-9F-87-41-54-44","AD2025\Domain Admins","False","False","False","False","44","18","5/12/2025 11:27:18 AM","5/12/2025 11:27:18 AM"
"CN=EA_User,OU=AdminSDHolderTests,DC=AD2025,DC=lan","7778c954-57f6-4e38-822b-df007eecd4c7","S-1-5-21-1753113456-3794003277-551465778-5445","1","513","CN=Enterprise Admins,CN=Users,DC=AD2025,DC=lan","user","EAUser","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","5/12/2025 11:27:18 AM","5/12/2025 11:27:28 AM"
"CN=EA_inetOrg,OU=AdminSDHolderTests,DC=AD2025,DC=lan","8e1e0b53-24da-4121-beba-e8410ee96de7","S-1-5-21-1753113456-3794003277-551465778-5446","1","513","CN=Enterprise Admins,CN=Users,DC=AD2025,DC=lan","inetOrgPerson","EAinetOrg","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","5/12/2025 11:27:18 AM","5/12/2025 11:27:28 AM"
"CN=EA_computer,OU=AdminSDHolderTests,DC=AD2025,DC=lan","90fc8ccc-083b-45f1-9678-ac8a45f5b977","S-1-5-21-1753113456-3794003277-551465778-5447","1","515","CN=Enterprise Admins,CN=Users,DC=AD2025,DC=lan","computer","EAcomp$","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","5/12/2025 11:27:18 AM","5/12/2025 11:27:28 AM"
"CN=EA_gmsa,OU=AdminSDHolderTests,DC=AD2025,DC=lan","f8f71c32-c577-4431-8349-15561de6d4de","S-1-5-21-1753113456-3794003277-551465778-5448","1","515","CN=Enterprise Admins,CN=Users,DC=AD2025,DC=lan","msDS-GroupManagedServiceAccount","EAgmsa$","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","5/12/2025 11:27:18 AM","5/12/2025 11:27:28 AM"
"CN=ERO_User,OU=AdminSDHolderTests,DC=AD2025,DC=lan","d8c9aac6-39ef-49fa-a41d-51e238f0dc30","S-1-5-21-1753113456-3794003277-551465778-5453","0","513","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=AD2025,DC=lan","user","EROUser","17-92-B0-5C-91-46-01-98-91-AF-E0-35-7C-00-54-D8-8D-94-08-4D-43-AA-AA-50-C6-76-C6-D5-12-DC-9C-2D","AD2025\Domain Admins","False","False","False","False","50","24","5/12/2025 11:27:19 AM","5/12/2025 11:27:19 AM"
"CN=ERO_inetOrg,OU=AdminSDHolderTests,DC=AD2025,DC=lan","b56a92b2-b88c-49bb-835c-aea52446018c","S-1-5-21-1753113456-3794003277-551465778-5454","0","513","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=AD2025,DC=lan","inetOrgPerson","EROinetOrg","1F-68-3A-18-5D-36-19-F4-89-D2-40-45-4E-98-CC-D9-0B-53-65-BB-5B-0F-14-F7-12-C7-EA-73-A7-02-E4-4A","AD2025\Domain Admins","False","False","False","False","50","24","5/12/2025 11:27:19 AM","5/12/2025 11:27:19 AM"
"CN=ERO_computer,OU=AdminSDHolderTests,DC=AD2025,DC=lan","872ffe46-8d7e-4dc5-a1e7-0692a6b4622d","S-1-5-21-1753113456-3794003277-551465778-5455","0","515","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=AD2025,DC=lan","computer","EROcomp$","81-D8-9C-12-61-0D-DE-E1-74-7F-33-BD-07-A4-35-E8-0A-8A-5A-AB-DD-FD-81-EF-D7-D4-C5-F3-B6-CF-46-27","AD2025\Domain Admins","False","False","False","False","46","19","5/12/2025 11:27:19 AM","5/12/2025 11:27:19 AM"
"CN=ERO_gmsa,OU=AdminSDHolderTests,DC=AD2025,DC=lan","23aa5e48-e995-46a9-9091-895232c46d18","S-1-5-21-1753113456-3794003277-551465778-5456","0","515","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=AD2025,DC=lan","msDS-GroupManagedServiceAccount","EROgmsa$","9D-D9-A9-1E-B5-3A-1B-3C-DF-0F-C3-5F-E5-D0-D1-69-94-D0-FD-D3-E3-60-19-22-43-BF-8C-9F-87-41-54-44","AD2025\Domain Admins","False","False","False","False","44","18","5/12/2025 11:27:19 AM","5/12/2025 11:27:19 AM"
"CN=CDC_User,OU=AdminSDHolderTests,DC=AD2025,DC=lan","b3591ee2-23ca-4e91-a74a-6c49cc85a149","S-1-5-21-1753113456-3794003277-551465778-5461","0","513","CN=Cloneable Domain Controllers,CN=Users,DC=AD2025,DC=lan","user","CDCUser","17-92-B0-5C-91-46-01-98-91-AF-E0-35-7C-00-54-D8-8D-94-08-4D-43-AA-AA-50-C6-76-C6-D5-12-DC-9C-2D","AD2025\Domain Admins","False","False","False","False","50","24","5/12/2025 11:27:19 AM","5/12/2025 11:27:19 AM"
"CN=CDC_inetOrg,OU=AdminSDHolderTests,DC=AD2025,DC=lan","92e785c7-6825-4999-aefa-a63f4c91b54e","S-1-5-21-1753113456-3794003277-551465778-5462","0","513","CN=Cloneable Domain Controllers,CN=Users,DC=AD2025,DC=lan","inetOrgPerson","CDCinetOrg","1F-68-3A-18-5D-36-19-F4-89-D2-40-45-4E-98-CC-D9-0B-53-65-BB-5B-0F-14-F7-12-C7-EA-73-A7-02-E4-4A","AD2025\Domain Admins","False","False","False","False","50","24","5/12/2025 11:27:19 AM","5/12/2025 11:27:19 AM"
"CN=CDC_computer,OU=AdminSDHolderTests,DC=AD2025,DC=lan","8a77c93d-1206-4c2f-adaa-e274d1d66660","S-1-5-21-1753113456-3794003277-551465778-5463","0","515","CN=Cloneable Domain Controllers,CN=Users,DC=AD2025,DC=lan","computer","CDCcomp$","81-D8-9C-12-61-0D-DE-E1-74-7F-33-BD-07-A4-35-E8-0A-8A-5A-AB-DD-FD-81-EF-D7-D4-C5-F3-B6-CF-46-27","AD2025\Domain Admins","False","False","False","False","46","19","5/12/2025 11:27:19 AM","5/12/2025 11:27:19 AM"
"CN=CDC_gmsa,OU=AdminSDHolderTests,DC=AD2025,DC=lan","826f5bcc-9683-44c8-aa88-753e73fd63f3","S-1-5-21-1753113456-3794003277-551465778-5464","0","515","CN=Cloneable Domain Controllers,CN=Users,DC=AD2025,DC=lan","msDS-GroupManagedServiceAccount","CDCgmsa$","9D-D9-A9-1E-B5-3A-1B-3C-DF-0F-C3-5F-E5-D0-D1-69-94-D0-FD-D3-E3-60-19-22-43-BF-8C-9F-87-41-54-44","AD2025\Domain Admins","False","False","False","False","44","18","5/12/2025 11:27:20 AM","5/12/2025 11:27:20 AM"
"CN=RAS_User,OU=AdminSDHolderTests,DC=AD2025,DC=lan","1ce126cb-12b9-41f6-81f2-2017891af0cf","S-1-5-21-1753113456-3794003277-551465778-5467","0","513","CN=RAS and IAS Servers,CN=Users,DC=AD2025,DC=lan","user","RASUser","17-92-B0-5C-91-46-01-98-91-AF-E0-35-7C-00-54-D8-8D-94-08-4D-43-AA-AA-50-C6-76-C6-D5-12-DC-9C-2D","AD2025\Domain Admins","False","False","False","False","50","24","5/12/2025 11:27:20 AM","5/12/2025 11:27:20 AM"
"CN=RAS_inetOrg,OU=AdminSDHolderTests,DC=AD2025,DC=lan","289c3759-1438-4e5d-b333-84f3dad04077","S-1-5-21-1753113456-3794003277-551465778-5468","0","513","CN=RAS and IAS Servers,CN=Users,DC=AD2025,DC=lan","inetOrgPerson","RASinetOrg","1F-68-3A-18-5D-36-19-F4-89-D2-40-45-4E-98-CC-D9-0B-53-65-BB-5B-0F-14-F7-12-C7-EA-73-A7-02-E4-4A","AD2025\Domain Admins","False","False","False","False","50","24","5/12/2025 11:27:20 AM","5/12/2025 11:27:20 AM"
"CN=RAS_computer,OU=AdminSDHolderTests,DC=AD2025,DC=lan","0c2e7983-4545-436e-996c-4817ec6f6b14","S-1-5-21-1753113456-3794003277-551465778-5469","0","515","CN=RAS and IAS Servers,CN=Users,DC=AD2025,DC=lan","computer","RAScomp$","81-D8-9C-12-61-0D-DE-E1-74-7F-33-BD-07-A4-35-E8-0A-8A-5A-AB-DD-FD-81-EF-D7-D4-C5-F3-B6-CF-46-27","AD2025\Domain Admins","False","False","False","False","46","19","5/12/2025 11:27:20 AM","5/12/2025 11:27:20 AM"
